 2019-Mar-24 00:00,A, , 04 24 32.00, +54 26 53.9,    04 26 01.70, +54 29 32.6,  17.02376,  -15.4180,  336.213192,    -2.988708,    n.a.,   n.a.,   21.197,   n.a.,   99.33714,   5.904142240942,-33.4686989,  6.09958770437042,-10.8519554,   74.0627,/T,    9.3411,   68.601, 300.609,  150.762332,  3.528442,   0.3827975,  132.16629,  -21.03438,         n.a.,    n.a.,
 2019-Mar-25 00:00,A, , 04 25 20.05, +54 20 50.2,    04 26 49.67, +54 23 27.5,  17.39251,  -15.3569,  335.786862,    -3.183264,    n.a.,   n.a.,   21.188,   n.a.,   99.33751,   5.884813792372,-33.4615620,  6.09320325613162,-10.9299769,   73.3102,/T,    9.3385,   68.229, 300.869,  150.916314,  3.541213,   0.3867008,  131.44332,  -20.99731,         n.a.,    n.a.,
 2019-Mar-26 00:00,A, , 04 26 08.99, +54 14 48.1,    04 27 38.53, +54 17 24.0,  17.76009,  -15.2959,  335.363635,    -3.382081,    n.a.,   n.a.,   21.179,   n.a.,   99.33810,   5.865489494873,-33.4543058,  6.08677078495275,-11.0129051,   72.5600,/T,    9.3344,   67.860, 301.125,  151.071653,  3.556444,   0.3906501,  130.73680,  -20.96772,         n.a.,    n.a.,
 2019-Mar-27 00:00,A, , 04 26 58.81, +54 08 47.5,    04 28 28.26, +54 11 22.0,  18.12646,  -15.2350,  334.943527,    -3.585078,    n.a.,   n.a.,   21.171,   n.a.,   99.33890,   5.846169417634,-33.4469282,  6.08028746093812,-11.1007865,   71.8119,/T,    9.3288,   67.493, 301.375,  151.228331,  3.574145,   0.3946427,  130.04654,  -20.94565,         n.a.,    n.a.,
 2019-Mar-28 00:00,A, , 04 27 49.49, +54 02 48.5,    04 29 18.87, +54 05 21.6,  18.49155,  -15.1742,  334.526554,    -3.792172,    n.a.,   n.a.,   21.162,   n.a.,   99.33992,   5.826853630932,-33.4394275,  6.07375043425540,-11.1936441,   71.0661,/T,    9.3216,   67.129, 301.620,  151.386330,  3.594322,   0.3986761,  129.37236,  -20.93109,         n.a.,    n.a.,
 2019-Mar-29 00:00,A, , 04 28 41.04, +53 56 51.0,    04 30 10.33, +53 59 22.7,  18.85527,  -15.1136,  334.112729,    -4.003284,    n.a.,   n.a.,   21.153,   n.a.,   99.34116,   5.807542206155,-33.4318017,  6.06715684828592,-11.2914795,   70.3226,/T,    9.3129,   66.767, 301.861,  151.545633,  3.616984,   0.4027477,  128.71412,  -20.92400,         n.a.,    n.a.,
 2019-Mar-30 00:00,A, , 04 29 33.44, +53 50 55.0,    04 31 02.66, +53 53 25.3,  19.21755,  -15.0532,  333.702060,    -4.218331,    n.a.,   n.a.,   21.144,   n.a.,   99.34262,   5.788235215826,-33.4240487,  6.06050385075758,-11.3942773,   69.5814,/T,    9.3027,   66.406, 302.096,  151.706220,  3.642136,   0.4068551,  128.07169,  -20.92428,         n.a.,    n.a.,
 2019-Mar-31 00:00,A, , 04 30 26.69, +53 45 00.6,    04 31 55.82, +53 47 29.4,  19.57833,  -14.9931,  333.294555,    -4.437233,    n.a.,   n.a.,   21.135,   n.a.,   99.34428,   5.768932733622,-33.4161666,  6.05378860218269,-11.5020098,   68.8427,/T,    9.2909,   66.048, 302.326,  151.868072,  3.669784,   0.4109960,  127.44491,  -20.93181,         n.a.,    n.a.,
 2019-Apr-01 00:00,A, , 04 31 20.78, +53 39 07.6,    04 32 49.83, +53 41 35.0,  19.93751,  -14.9334,  332.890221,    -4.659908,    n.a.,   n.a.,   21.126,   n.a.,   99.34616,   5.749634834392,-33.4081534,  6.04700828196456,-11.6146401,   68.1063,/T,    9.2776,   65.691, 302.552,  152.031170,  3.699934,   0.4151680,  126.83366,  -20.94647,         n.a.,    n.a.,
 2019-Apr-02 00:00, , , 04 32 15.70, +53 33 16.2,    04 33 44.67, +53 35 42.1,  20.29504,  -14.8743,  332.489061,    -4.886279,    n.a.,   n.a.,   21.117,   n.a.,   99.34825,   5.730341594186,-33.4000069,  6.04016009305351,-11.7321240,   67.3725,/T,    9.2628,   65.335, 302.774,  152.195495,  3.732590,   0.4193690,  126.23778,  -20.96811,         n.a.,    n.a.,
